* all_FIs_FiMi.csv
*
* FiMi-Symbol;LongName;Type;Native Market;Provider-Symbol-Market;Provider-Symbol-Market
MRVL;MARVELL TECH GROUP;Stock;NASDAQ;Yahoo MRVL NASDAQ;
MSFT;MICROSOFT CP;Stock;NASDAQ;Yahoo MSFT NASDAQ;
MXIM;MAXIM INTEGRATED;Stock;NASDAQ;Yahoo MXIM NASDAQ;
NIHD;NII HLDGS INC;Stock;NASDAQ;Yahoo NIHD NASDAQ;
NTAP;NETWORK APPLIANCE;Stock;NASDAQ;Yahoo NTAP NASDAQ;
NVDA;NVIDIA CORP;Stock;NASDAQ;Yahoo NVDA NASDAQ;
ORCL;ORACLE CORP;Stock;NASDAQ;Yahoo ORCL NASDAQ;
PAYX;PAYCHEX INC;Stock;NASDAQ;Yahoo PAYX NASDAQ;
PCAR;PACCAR INC;Stock;NASDAQ;Yahoo PCAR NASDAQ;
PDCO;PATTERSON COMPANIES;Stock;NASDAQ;Yahoo PDCO NASDAQ;
PETM;PET SMART INC;Stock;NASDAQ;Yahoo PETM NASDAQ;
PTEN;PATTERSON-UTI ENER;Stock;NASDAQ;Yahoo PTEN NASDAQ;
QCOM;QUALCOMM INC;Stock;NASDAQ;Yahoo QCOM NASDAQ;
RIMM;RESEARCH IN MOTION;Stock;NASDAQ;Yahoo RIMM NASDAQ;
ROST;ROSS STORES INC;Stock;NASDAQ;Yahoo ROST NASDAQ;
RYAAY;RYANAIR HLDGS ADR;Stock;NASDAQ;Yahoo RYAAY NASDAQ;
SBUX;STARBUCKS CP;Stock;NASDAQ;Yahoo SBUX NASDAQ;
SEPR;SEPRACOR INC;Stock;NASDAQ;Yahoo SEPR NASDAQ;
SHLD;SEARS HLDGS CORP;Stock;NASDAQ;Yahoo SHLD NASDAQ;
SIAL;SIGMA ALDRICH CP;Stock;NASDAQ;Yahoo SIAL NASDAQ;
SIRI;SIRIUS SATELLITE R;Stock;NASDAQ;Yahoo SIRI NASDAQ;
SNDK;SANDISK CP;Stock;NASDAQ;Yahoo SNDK NASDAQ;
SPLS;STAPLES INC;Stock;NASDAQ;Yahoo SPLS NASDAQ;
SUNW;SUN MICROSYS INC;Stock;NASDAQ;Yahoo SUNW NASDAQ;
SYMC;SYMANTEC CP;Stock;NASDAQ;Yahoo SYMC NASDAQ;
TEVA;TEVA PHARM INDS AD;Stock;NASDAQ;Yahoo TEVA NASDAQ;
TLAB;TELLABS INC;Stock;NASDAQ;Yahoo TLAB NASDAQ;
UAUA;UAL CORP NEW;Stock;NASDAQ;Yahoo UAUA NASDAQ;
VMED;VIRGIN MEDIA INC;Stock;NASDAQ;Yahoo VMED NASDAQ;
VRSN;VERISIGN INC;Stock;NASDAQ;Yahoo VRSN NASDAQ;
VRTX;VERTEX PHARMACEUT;Stock;NASDAQ;Yahoo VRTX NASDAQ;
WFMI;WHOLE FOODS MARKT;Stock;NASDAQ;Yahoo WFMI NASDAQ;
WYNN;WYNN RESORTS LTD;Stock;NASDAQ;Yahoo WYNN NASDAQ;
XLNX;XILINX INC;Stock;NASDAQ;Yahoo XLNX NASDAQ;
XMSR;XM SATELLITE RADIO;Stock;NASDAQ;Yahoo XMSR NASDAQ;
XRAY;DENTSPLY INTL INC;Stock;NASDAQ;Yahoo XRAY NASDAQ;
YHOO;YAHOO INC;Stock;NASDAQ;Yahoo YHOO NASDAQ;
